registradoEm,nomeEpisodio,animeNome,temporada,loreNome,modeloLlm,statusFinal,totalLinhas,falasTraduzidas,falasDoCache,tempoTotalMs,quantidadeAvisos
2026-07-25T13:41:13.914654500Z,Guilty Crown - 03_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,356,339,0,342763,18
2026-07-25T13:46:19.251181900Z,Guilty Crown - 04_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,279,271,0,305314,8
2026-07-25T13:52:02.019715500Z,Guilty Crown - 05_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,278,266,0,342751,15
2026-07-25T13:56:54.569622700Z,Guilty Crown - 06_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,264,255,0,292538,9
2026-07-25T14:02:59.239040800Z,Guilty Crown - 07_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,319,306,0,364652,13
2026-07-25T14:08:10.284765500Z,Guilty Crown - 08_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,289,281,0,311028,14
2026-07-25T14:12:26.981933300Z,Guilty Crown - 09_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,262,249,0,256682,11
2026-07-25T14:16:41.815452Z,Guilty Crown - 10_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,284,266,0,254819,12
2026-07-25T14:21:38.919014200Z,Guilty Crown - 11_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,281,268,0,297084,9
2026-07-25T14:26:15.220574600Z,Guilty Crown - 12_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,262,249,0,276289,14
2026-07-25T14:38:15.809690200Z,Guilty Crown - 13_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,389,377,0,720569,38
2026-07-25T17:32:08.849566200Z,Guilty Crown - 01_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,216,212,0,173583,1
2026-07-25T17:36:45.173176Z,Guilty Crown - 02_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,277,271,0,276300,11
2026-07-25T17:43:01.025394200Z,Guilty Crown - 03_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,356,339,0,375836,16
2026-07-25T17:48:42.425019900Z,Guilty Crown - 04_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,279,271,0,341377,9
2026-07-25T17:53:34.207870300Z,Guilty Crown - 05_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,278,266,0,291766,15
2026-07-25T17:58:09.536530100Z,Guilty Crown - 06_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,264,255,0,275312,8
2026-07-25T18:03:59.989359200Z,Guilty Crown - 07_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,319,306,0,350435,11
2026-07-25T18:09:18.343458500Z,Guilty Crown - 08_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,289,282,0,318347,15
2026-07-25T18:13:33.421388200Z,Guilty Crown - 09_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,262,248,0,255064,12
2026-07-25T18:18:08.861077400Z,Guilty Crown - 10_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,284,266,0,275434,10
2026-07-25T18:23:15.641223200Z,Guilty Crown - 11_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,281,268,0,306762,11
2026-07-25T18:27:52.793841100Z,Guilty Crown - 12_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,262,249,0,277135,15
2026-07-25T18:35:41.613924900Z,Guilty Crown - 13_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,360,350,0,468802,23
2026-07-25T18:44:31.141277900Z,Guilty Crown - 14_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,361,334,0,529511,29
2026-07-25T18:51:35.346964Z,Guilty Crown - 15_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,308,281,0,424184,32
2026-07-25T18:58:58.346672200Z,Guilty Crown - 16_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,330,318,0,442972,31
2026-07-25T19:06:06.774291900Z,Guilty Crown - 17_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,264,251,0,428409,19
2026-07-25T19:11:45.119713Z,Guilty Crown - 18_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,238,220,0,338324,16
2026-07-25T19:19:22.438810Z,Guilty Crown - 19_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,298,282,0,457309,23
2026-07-25T19:27:15.535037600Z,Guilty Crown - 20_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,323,315,0,473077,19
2026-07-25T19:33:44.490019200Z,Guilty Crown - 21_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,252,244,0,388924,19
2026-07-25T19:36:51.452888900Z,Guilty Crown - 22_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,264,252,0,186939,2
2026-07-25T19:38:28.395302800Z,Guilty Crown OVA - 01_Track2.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,98,95,0,96922,5
2026-07-25T20:34:22.975534300Z,Guilty Crown - 01_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,towerinstruct-mistral-7b-v0.2,PARCIAL,188,184,0,58972,2
